player_id,name,team,pos,toi_all,toi5,toi_pp,toi_sh,ev_off,ev_def,pp,sh,penalties,finishing,gar,war,off,def,pp_off,sh_def,goals,ixg,pen_drawn,pen_taken,kind,xg_faced,ga,gsax
8477504,Josh Morrissey,WPG,D,1901.5333,1519.9667,206.8667,57.6,3.725,2.1701,1.1066,-0.0237,1.607,4.549,13.1339,2.1495,0.121,-0.0628,0.2136,-0.027,14.0,10.0687,11.0,11.0,skater,,,
8478402,Connor McDavid,EDM,F,1411.9667,1101.9167,200.5167,4.6167,7.0263,-1.2263,1.7597,0.0061,1.6252,3.6347,12.8258,2.0991,0.3511,0.066,0.4539,-0.0948,26.0,26.3982,23.0,11.0,skater,,,
8480023,Robert Thomas,STL,F,1354.2167,991.0,154.8667,87.1667,5.9726,0.6789,0.4944,-0.7312,0.5541,5.4313,12.4001,2.0294,0.3301,-0.0419,0.1188,0.4879,19.0,17.4367,14.0,10.0,skater,,,
8477964,Ivan Barbashev,VGK,F,1124.0333,1018.15,56.5,0.3667,3.0748,-0.2747,-0.1379,-0.0,0.9523,8.3844,11.9989,1.9637,0.1497,0.0154,-0.2191,-0.0085,21.0,15.8261,12.0,5.0,skater,,,
8475692,Mats Zuccarello,MIN,F,1297.6833,999.7167,214.05,0.4833,0.9951,-0.7944,1.2582,-0.0,1.8912,8.4812,11.8313,1.9363,0.0282,0.0469,0.28,-0.0122,18.0,13.2253,25.0,11.0,skater,,,
8482737,Zachary Bolduc,STL,F,897.1,773.5333,89.8167,0.35,0.7083,2.0789,0.0016,-0.0003,0.0126,8.7515,11.5526,1.8907,0.0235,-0.1621,-0.0716,0.0392,19.0,12.8108,12.0,12.0,skater,,,
8480839,Rasmus Dahlin,BUF,D,1672.7,1274.2667,209.2167,46.2333,3.2172,1.8074,-0.1699,-0.2074,1.2798,5.623,11.5501,1.8903,0.1255,-0.0622,-0.1561,0.2174,16.0,10.9204,26.0,27.0,skater,,,
8477998,Warren Foegele,LAK,F,1276.6833,1052.5,55.7833,116.3833,3.1236,2.1586,0.1576,0.8168,0.1517,4.9923,11.4006,1.8658,0.1466,-0.1239,0.0968,-0.4365,23.0,21.6542,13.0,12.0,skater,,,
8478519,Anthony Cirelli,TBL,F,1439.55,1080.4,94.6833,149.4167,4.7754,2.2742,-0.1673,-0.6967,1.358,3.7933,11.3369,1.8554,0.2337,-0.1271,-0.1787,0.2644,21.0,21.3184,23.0,13.0,skater,,,
8475166,John Tavares,TOR,F,1300.9667,1004.8833,193.0167,1.3667,0.3911,-0.6428,2.2866,0.0004,-1.0521,10.2253,11.2085,1.8344,-0.0081,0.0376,0.6381,-0.0309,33.0,26.4906,15.0,23.0,skater,,,
8478427,Sebastian Aho,CAR,F,1511.15,1016.4333,256.4833,124.15,4.9649,-0.2601,2.5819,0.021,0.0212,3.771,11.0999,1.8166,0.2616,0.0145,0.5313,-0.0256,27.0,27.5452,22.0,22.0,skater,,,
8479410,Mikhail Sergachev,UTA,D,1842.15,1273.4833,228.1333,208.0833,3.1815,0.3765,1.4616,-0.4213,0.219,6.1855,11.0027,1.8007,0.1239,0.0051,0.277,0.0698,14.0,8.4129,6.0,16.0,skater,,,
8484387,Matvei Michkov,PHI,F,1280.0,974.6833,203.75,0.4333,3.5499,-2.2083,0.8358,-0.0,0.4193,8.3568,10.9534,1.7926,0.187,0.1351,0.1734,-0.0093,26.0,21.2992,21.0,18.0,skater,,,
8478444,Brock Boeser,VAN,F,1283.8,978.1333,216.3333,0.5833,0.3413,-0.8775,0.6431,-0.0,-0.1158,10.8766,10.8677,1.7786,-0.0106,0.053,0.1057,-0.0139,25.0,17.7903,6.0,7.0,skater,,,
8475913,Mark Stone,VGK,F,1217.7833,900.6667,157.5,68.6333,2.4273,1.9876,1.3739,-0.2519,0.686,4.5624,10.7853,1.7651,0.1302,-0.1332,0.4507,0.2048,17.0,15.9159,12.0,7.0,skater,,,
8479343,Clayton Keller,UTA,F,1474.3167,1109.5,250.95,1.4,2.0342,0.4751,0.8524,-0.0008,1.8937,5.526,10.7805,1.7643,0.0785,-0.0265,0.1311,0.0189,26.0,24.6851,27.0,13.0,skater,,,
8477416,Oliver Bjorkstrand,TBL,F,1163.1667,935.6167,158.4667,0.1333,-0.0771,1.4292,0.0161,-0.0,0.2839,9.1257,10.7778,1.7639,-0.0364,-0.0925,-0.0666,-0.0032,21.0,15.1966,8.0,6.0,skater,,,
